7227:000000 FBgn0000008
7227:000001 FBgn0000014
7227:000002 FBgn0000015
7227:000003 FBgn0000017
7227:000004 FBgn0000018
7227:000005 FBgn0000022
7227:000006 FBgn0000024
7227:000007 FBgn0000028
7227:000008 FBgn0000032
7227:000009 FBgn0000036
7227:00000a FBgn0000037
7227:00000b FBgn0000038
7227:00000c FBgn0000039
7227:00000d FBgn0000042
7227:00000e FBgn0000043
7227:00000f FBgn0000044
7227:000010 FBgn0000045
7227:000011 FBgn0000046
7227:000012 FBgn0000047
7227:000013 FBgn0000052
7227:000014 FBgn0000053
7227:000015 FBgn0000054
7227:000016 FBgn0000055
7227:000017 FBgn0000056
7227:000018 FBgn0000057
7227:000019 FBgn0000061
7227:00001a FBgn0000063
7227:00001b FBgn0000064
7227:00001c FBgn0000071
7227:00001d FBgn0000075
7227:00001e FBgn0000077
7227:00001f FBgn0000078
7227:000020 FBgn0000079
7227:000021 FBgn0000083
7227:000022 FBgn0000084
7227:000023 FBgn0000092
7227:000024 FBgn0000094
7227:000025 FBgn0000097
7227:000026 FBgn0000099
7227:000027 FBgn0000100
7227:000028 FBgn0000108
7227:000029 FBgn0000109
7227:00002a FBgn0000114
7227:00002b FBgn0000115
7227:00002c FBgn0000116
7227:00002d FBgn0000117
7227:00002e FBgn0000119
7227:00002f FBgn0000120
7227:000030 FBgn0000121
7227:000031 FBgn0000137
7227:000032 FBgn0000139
7227:000033 FBgn0000140
7227:000034 FBgn0000146
7227:000035 FBgn0000147
7227:000036 FBgn0000150
7227:000037 FBgn0000152
7227:000038 FBgn0000153
7227:000039 FBgn0000157
7227:00003a FBgn0000158
7227:00003b FBgn0000163
7227:00003c FBgn0000166
7227:00003d FBgn0000173
7227:00003e FBgn0000179
7227:00003f FBgn0000180
7227:000040 FBgn0000181
7227:000041 FBgn0000182
7227:000042 FBgn0000183
7227:000043 FBgn0000206
7227:000044 FBgn0000210
7227:000045 FBgn0000212
7227:000046 FBgn0000216
7227:000047 FBgn0000221
7227:000048 FBgn0000227
7227:000049 FBgn0000228
7227:00004a FBgn0000229
7227:00004b FBgn0000233
7227:00004c FBgn0000239
7227:00004d FBgn0000241
7227:00004e FBgn0000244
7227:00004f FBgn0000246
7227:000050 FBgn0000247
7227:000051 FBgn0000250
7227:000052 FBgn0000251
7227:000053 FBgn0000253
7227:000054 FBgn0000256
7227:000055 FBgn0000257
7227:000056 FBgn0000259
7227:000057 FBgn0000261
7227:000058 FBgn0000273
7227:000059 FBgn0000274
7227:00005a FBgn0000276
7227:00005b FBgn0000277
7227:00005c FBgn0000278
7227:00005d FBgn0000279
7227:00005e FBgn0000283
7227:00005f FBgn0000286
7227:000060 FBgn0000287
