Msex2.02682,jdp
Msex2.02680,CG33090
Msex2.02681,stumps
Msex2.02686,CG12081
Msex2.02687,dac
Msex2.02684,PH4alphaEFB
Msex2.02685,CG7275
Msex2.02688,jhamt
Msex2.03375,mtsh
Msex2.03377,nmd
Msex2.09931,Nazo
Msex2.03370,CG13868
Msex2.03373,CG7781
Msex2.10532,Osi7
Msex2.12533,pie
Msex2.03379,Pten
Msex2.03378,CG9004
Msex2.12537,CPT2
Msex2.12536,YL-1
Msex2.10537,Osi8
Msex2.10536,Osi9
Msex2.02974,eff
Msex2.02975,Cad88C
Msex2.02971,Sap-r
Msex2.02972,Ptx1
Msex2.02973,CG7530
Msex2.01503,MED20
Msex2.00134,loqs
Msex2.03089,CG15014
Msex2.03088,beat-VI
Msex2.03087,CG7488
Msex2.03086,CG2662
Msex2.03085,CG32262
Msex2.03083,CG7430
Msex2.03082,CG9328
Msex2.03080,NoSymbolFound
Msex2.10538,NoSymbolFound
Msex2.06513,Asph
Msex2.03887,ACXD
Msex2.03886,Fili
Msex2.03884,Lnpk
Msex2.03881,tsu
Msex2.03880,CG8004
Msex2.01236,pic
Msex2.09930,Opa1
Msex2.06517,CG9701
Msex2.01957,Fas3
Msex2.01956,FAM21
Msex2.01954,Cul2
Msex2.01234,Art1
Msex2.01950,PTP-ER
Msex2.04351,Cpr57A
Msex2.04685,mRpS10
Msex2.04686,TMEM216
Msex2.04687,St2
Msex2.04681,CG5510
Msex2.04682,mle
Msex2.14344,mt:CoI
Msex2.14345,mt:ND1
Msex2.04688,Gyc88E
Msex2.14342,mt:CoIII
Msex2.14343,mt:ATPase6
Msex2.12539,ex
Msex2.08468,Npc2a
Msex2.08465,CG33964
Msex2.08466,CG15082
Msex2.08461,CG42655
Msex2.08463,Alp12
Msex2.01839,Rgk1
Msex2.01830,Arp8
Msex2.01831,Syx16
Msex2.01832,vih
Msex2.01833,CG5986
Msex2.04538,ovo
Msex2.04536,Nadsyn
Msex2.04537,Nna1
Msex2.04534,Vps36
Msex2.04535,CG11263
Msex2.04533,HisRS
Msex2.04531,BBS1
Msex2.08684,CG31381
Msex2.08685,Myc
Msex2.12535,CASK
Msex2.12534,cbt
Msex2.10268,Inx3
Msex2.10267,Gr47b
Msex2.10263,grn
Msex2.05335,CG5953
Msex2.05398,Cdc23
Msex2.06689,Syn1
Msex2.06686,Cdk12
Msex2.06687,Myo61F
Msex2.06684,Nprl2
Msex2.06685,RAF2
Msex2.06682,NoSymbolFound
Msex2.06683,Ppcdc
Msex2.06680,Etl1
Msex2.06681,CG13124
Msex2.04828,CG17660
Msex2.04829,CG1620
Msex2.09331,Cdc5
Msex2.09330,Ercc1
Msex2.09336,CG3085
Msex2.09335,Cyp1
Msex2.09334,CG11334
Msex2.09484,GlyT
Msex2.04822,LysP
Msex2.09338,HP1c
Msex2.04824,Pgant7
Msex2.04825,TBCC
Msex2.04827,Ced-12
Msex2.05481,Eip55E
Msex2.05483,Gem2
Msex2.05482,CG3609
Msex2.00309,LSm1
Msex2.00308,RhoGAP54D
Msex2.05487,NoSymbolFound
Msex2.05489,Idh
Msex2.05488,CG42304
Msex2.06462,CG10793
Msex2.06463,CG32647
Msex2.01300,Hs3st-A
Msex2.10488,CG9646
Msex2.01306,CG2258
Msex2.01307,nemy
Msex2.06464,Dpm3
Msex2.06465,Pi3K59F
Msex2.10482,ATP8A
Msex2.06468,Mat89Ba
Msex2.01309,CG8545
Msex2.10484,fat-spondin
Msex2.09155,Trax
Msex2.09154,Arpc1
Msex2.09153,Sec71
Msex2.09152,Bub3
Msex2.10756,promL
Msex2.09440,Ca-alpha1D
Msex2.10367,CG4935
Msex2.07226,yl
Msex2.07225,Mtpbeta
Msex2.07224,CG2247
Msex2.07223,Rs1
Msex2.07222,NoSymbolFound
Msex2.07229,Scr
Msex2.13613,snRNP-U1-70K
Msex2.13617,icln
Msex2.13618,Rcc1
Msex2.02761,blp
Msex2.02760,CG4596
Msex2.02763,CG5516
Msex2.02762,Mcm2
Msex2.02765,CG11807
Msex2.02764,PEK
Msex2.02767,Pi4KIIalpha
Msex2.02769,CG16800
Msex2.12254,CG33722
Msex2.12255,CG16790
Msex2.12256,Nmdar2
Msex2.12257,Ythdc1
Msex2.12250,RecQ4
Msex2.12251,oxt
Msex2.12252,CG10672
Msex2.12253,ecd
Msex2.12258,Gdap1
Msex2.12259,CG8289
Msex2.00949,Zw10
Msex2.00948,CG3862
Msex2.00941,Gli
Msex2.00940,CG13326
Msex2.00947,MED27
Msex2.00946,CG18598
Msex2.00945,nAChRalpha6
Msex2.14481,Tango6
Msex2.14488,Ugt50B3
Msex2.03410,CG6414
Msex2.03143,CRAT
Msex2.03412,Cat
Msex2.03146,Kap3
Msex2.03147,Su(dx)
Msex2.03144,Rab14
Msex2.03145,CG14818
Msex2.03418,NUCB1
Msex2.03419,Idgf6
Msex2.03148,AlaRS
Msex2.03149,mTerf3
Msex2.14158,Nup54
Msex2.14150,CG8963
Msex2.14153,CG34133
Msex2.14620,CG1582
Msex2.14155,jv
Msex2.14626,Prosbeta5
Msex2.05819,mRpS25
Msex2.05813,tws
Msex2.05810,SmD2
Msex2.05816,Loxl2
Msex2.05817,TyrR
Msex2.05815,osy
Msex2.11052,l(1)G0004
Msex2.11051,ND-42
Msex2.11507,Osi22
Msex2.11054,CG40298
Msex2.11509,CG15888
Msex2.11508,apn
Msex2.11058,CCAP
Msex2.08149,CG7639
Msex2.08143,GMF
Msex2.08142,ATP7
Msex2.08140,Fibp
Msex2.08147,edl
Msex2.08145,Asator
Msex2.01155,CG4714
Msex2.01154,CG4984
Msex2.01667,CG9864
Msex2.10906,CG11771
Msex2.10907,CG18473
Msex2.01666,Ate1
Msex2.10902,Nmda1
Msex2.10900,mRpL52
Msex2.10679,Fer1HCH
Msex2.10908,CG8635
Msex2.01660,Faf2
Msex2.01662,CG16935
Msex2.00240,Sf3b6
Msex2.00717,CG3823
Msex2.01423,pico
Msex2.00714,CG3071
Msex2.06892,CG31810
Msex2.00715,Crag
Msex2.06896,CG13994
Msex2.06895,CG10877
