gene14364,sNPF
gene14366,CG11837
gene14367,Tango14
gene14361,CG31637
gene14362,G9a
gene14368,CG31211
gene4495,Unr
gene4497,Qsox1
gene4493,Taf11
gene4723,Aven
gene4726,mkg-p
gene4727,mnb
gene4725,CG33057
gene5572,slpr
gene10302,CG18155
gene5576,Pits
gene3711,CG34015
gene11268,SmydA-3
gene11265,kel
gene10243,Gba1b
gene5459,cin
gene10247,CG12173
gene10249,Hmu
gene10248,CG3216
gene5456,Rh50
gene5454,Con
gene217,CG31999
gene216,U3-55K
gene214,PSR
gene219,nAChRalpha6
gene218,CG17271
gene7914,CG4497
gene7915,drongo
gene7916,Cog4
gene7917,CG10333
gene8722,Vps37B
gene7912,CG7509
gene7913,CG17768
gene7918,RpII18
gene7919,Kua
gene8729,CG9514
gene4935,MED17
gene4934,Rsf1
gene4933,Prx5
gene4930,Reph
gene5046,Sytbeta
gene5040,Sf3a2
gene5041,NoSymbolFound
gene5042,Cap-G
gene5043,Pvr
gene13928,CG7272
gene13923,CG17544
gene13294,e
gene13921,CG10947
gene13920,CG4291
gene13291,Vps13B
gene13290,CG11583
gene13293,CG42523
gene13292,Nelf-A
gene1275,CG9004
gene1619,Aldh
gene1618,Srp19
gene1615,CG42346
gene1614,mal
gene1610,Parg
gene1613,mora
gene1612,bchs
gene2096,S-Lap8
gene2094,Snp
gene2095,Slu7
gene2098,Ir93a
gene2099,CG4679
gene4555,CG6282
gene4554,S-Lap2
gene4557,NoSymbolFound
gene3271,cue
gene3270,CG5589
gene4553,CG4069
gene4552,TSG101
gene4559,CG11825
gene4558,Rnb
gene13439,CG40228
gene13438,Unc-115a
gene1279,Bx42
gene13431,Gpb5
gene13430,klhl10
gene13432,Gpa2
gene13437,Vps13D
gene13436,Hml
gene12528,RpS9
gene12527,CG8613
gene15802,Nop60B
gene15556,beta4GalNAcTB
gene15801,P32
gene15807,Ppcdc
gene15552,nrm
gene9236,Cyp4c3
gene2034,RabX4
gene7358,Efhc1.2
gene2527,fzy
gene7356,NoSymbolFound
gene7354,CG4230
gene7355,CG6729
gene2524,bif
gene7351,CG2972
gene2522,Uck
gene2031,qless
gene2521,ubl
gene5602,Nep5
gene5601,Nab2
gene8051,per
gene14622,Rpn10
gene396,CG6454
gene397,nAChRbeta1
gene427,KCNQ
gene8009,CG6414
gene8008,CG8475
gene8007,CG15356
gene8006,CG8155
gene8005,CG12129
gene8004,Glg1
gene8003,hzg
gene8002,Als2
gene7760,Pgant35A
gene11073,CG7565
gene11079,sand
gene11078,pyd
gene10386,Fak
gene10384,CG32354
gene10383,Rgk1
gene10380,atl
gene11388,spt4
gene11387,CG3808
gene11386,ksr
gene11382,CG13002
gene4983,CG42240
gene4986,CG14232
gene9350,Zw10
gene3911,CG5004
gene4233,Srp54k
gene3914,igl
gene9355,peb
gene3916,CG4269
gene4237,CG30105
gene4238,Fib
gene3919,Zip48C
gene9608,tamo
gene9609,CG31347
gene10658,CG33299
gene14639,adp
gene10651,CG12259
gene10652,mRpL9
gene14149,hyx
gene8910,CG34150
gene4989,nclb
gene8915,CG12581
gene8914,CG3542
gene8918,CG1307
gene11929,Myo10A
gene14144,orb
gene14145,CG13827
gene11921,Sans
gene11920,eIF3d1
gene11922,CG8560
gene11924,unc-4
gene6988,Fsn
gene8017,Cpr67B
gene6980,pbl
gene6981,CG3294
gene6982,CG9967
gene6983,eys
gene6984,Uba5
gene6985,CG17059
gene6986,Dp
gene14637,APC4
gene10038,ND-B14.7
gene10039,Atg6
gene14143,CG13850
gene10033,CG5726
gene13602,CG8138
gene13603,Nos
gene13600,CG31109
gene13601,Atg14
gene13607,Tsp42Ea
gene5181,CG15814
gene5180,Synd
gene5183,p
gene535,DIP-beta
gene532,CG3246
gene533,Vdup1
gene530,NoSymbolFound
gene5186,CG1998
gene5188,eIF5
gene7169,vkg
gene2408,CG3803
gene7161,RpL13A
gene2400,CG6766
gene2403,Cad87A
gene2402,Lsd-1
gene2404,prel
gene2407,CG1172
gene2406,shop
gene6579,GatA
gene6578,Bet3
gene6571,CG31650
gene6573,CRAT
gene6572,Prx6005
gene16380,Uxs
gene6574,Arpc5
gene6577,CG6236
gene6576,Ntmt
