7165:000000 AGAP000002
7165:000001 AGAP000005
7165:000002 AGAP000007
7165:000003 AGAP000008
7165:000004 AGAP000009
7165:000005 AGAP000010
7165:000006 AGAP000011
7165:000007 AGAP000012
7165:000008 AGAP000013
7165:000009 AGAP000014
7165:00000a AGAP000015
7165:00000b AGAP000016
7165:00000c AGAP000017
7165:00000d AGAP000018
7165:00000e AGAP000019
7165:00000f AGAP000020
7165:000010 AGAP000021
7165:000011 AGAP000022
7165:000012 AGAP000023
7165:000013 AGAP000025
7165:000014 AGAP000028
7165:000015 AGAP000029
7165:000016 AGAP000032
7165:000017 AGAP000033
7165:000018 AGAP000035
7165:000019 AGAP000037
7165:00001a AGAP000038
7165:00001b AGAP000039
7165:00001c AGAP000040
7165:00001d AGAP000041
7165:00001e AGAP000042
7165:00001f AGAP000043
7165:000020 AGAP000044
7165:000021 AGAP000045
7165:000022 AGAP000046
7165:000023 AGAP000047
7165:000024 AGAP000048
7165:000025 AGAP000049
7165:000026 AGAP000051
7165:000027 AGAP000053
7165:000028 AGAP000054
7165:000029 AGAP000055
7165:00002a AGAP000056
7165:00002b AGAP000057
7165:00002c AGAP000058
7165:00002d AGAP000061
7165:00002e AGAP000062
7165:00002f AGAP000063
7165:000030 AGAP000064
7165:000031 AGAP000065
7165:000032 AGAP000066
7165:000033 AGAP000067
7165:000034 AGAP000068
7165:000035 AGAP000069
7165:000036 AGAP000070
7165:000037 AGAP000071
7165:000038 AGAP000072
7165:000039 AGAP000073
7165:00003a AGAP000074
7165:00003b AGAP000075
7165:00003c AGAP000076
7165:00003d AGAP000078
7165:00003e AGAP000079
7165:00003f AGAP000080
7165:000040 AGAP000081
7165:000041 AGAP000082
7165:000042 AGAP000083
7165:000043 AGAP000084
7165:000044 AGAP000085
7165:000045 AGAP000086
7165:000046 AGAP000088
7165:000047 AGAP000090
7165:000048 AGAP000091
7165:000049 AGAP000092
7165:00004a AGAP000093
7165:00004b AGAP000094
7165:00004c AGAP000095
7165:00004d AGAP000096
7165:00004e AGAP000097
7165:00004f AGAP000098
7165:000050 AGAP000099
7165:000051 AGAP000100
7165:000052 AGAP000102
7165:000053 AGAP000104
7165:000054 AGAP000105
7165:000055 AGAP000106
7165:000056 AGAP000107
7165:000057 AGAP000108
7165:000058 AGAP000109
7165:000059 AGAP000110
7165:00005a AGAP000111
7165:00005b AGAP000112
7165:00005c AGAP000113
7165:00005d AGAP000114
7165:00005e AGAP000115
7165:00005f AGAP000116
7165:000060 AGAP000117
7165:000061 AGAP000118
7165:000062 AGAP000119
7165:000063 AGAP000120
7165:000064 AGAP000121
7165:000065 AGAP000123
7165:000066 AGAP000124
7165:000067 AGAP000126
7165:000068 AGAP000127
7165:000069 AGAP000128
7165:00006a AGAP000129
7165:00006b AGAP000130
7165:00006c AGAP000131
7165:00006d AGAP000132
7165:00006e AGAP000133
7165:00006f AGAP000134
7165:000070 AGAP000135
7165:000071 AGAP000136
7165:000072 AGAP000137
7165:000073 AGAP000138
7165:000074 AGAP000139
7165:000075 AGAP000140
7165:000076 AGAP000141
7165:000077 AGAP000142
7165:000078 AGAP000143
7165:000079 AGAP000144
7165:00007a AGAP000145
7165:00007b AGAP000146
7165:00007c AGAP000147
7165:00007d AGAP000149
7165:00007e AGAP000150
7165:00007f AGAP000151
7165:000080 AGAP000152
7165:000081 AGAP000153
7165:000082 AGAP000154
7165:000083 AGAP000155
7165:000084 AGAP000156
7165:000085 AGAP000158
7165:000086 AGAP000159
7165:000087 AGAP000160
7165:000088 AGAP000161
7165:000089 AGAP000162
7165:00008a AGAP000163
7165:00008b AGAP000164
7165:00008c AGAP000165
7165:00008d AGAP000166
7165:00008e AGAP000167
7165:00008f AGAP000168
7165:000090 AGAP000169
7165:000091 AGAP000170
7165:000092 AGAP000171
7165:000093 AGAP000172
7165:000094 AGAP000173
7165:000095 AGAP000175
7165:000096 AGAP000176
7165:000097 AGAP000177
7165:000098 AGAP000178
7165:000099 AGAP000179
7165:00009a AGAP000180
7165:00009b AGAP000181
7165:00009c AGAP000182
7165:00009d AGAP000183
7165:00009e AGAP000184
7165:00009f AGAP000185
7165:0000a0 AGAP000186
7165:0000a1 AGAP000187
7165:0000a2 AGAP000188
7165:0000a3 AGAP000189
7165:0000a4 AGAP000190
7165:0000a5 AGAP000191
7165:0000a6 AGAP000192
7165:0000a7 AGAP000193
7165:0000a8 AGAP000194
7165:0000a9 AGAP000195
7165:0000aa AGAP000196
7165:0000ab AGAP000198
7165:0000ac AGAP000199
7165:0000ad AGAP000200
7165:0000ae AGAP000201
7165:0000af AGAP000202
7165:0000b0 AGAP000203
7165:0000b1 AGAP000204
7165:0000b2 AGAP000205
7165:0000b3 AGAP000206
7165:0000b4 AGAP000207
7165:0000b5 AGAP000208
7165:0000b6 AGAP000209
7165:0000b7 AGAP000210
7165:0000b8 AGAP000211
7165:0000b9 AGAP000213
7165:0000ba AGAP000214
7165:0000bb AGAP000215
7165:0000bc AGAP000216
7165:0000bd AGAP000217
7165:0000be AGAP000218
7165:0000bf AGAP000219
7165:0000c0 AGAP000220
7165:0000c1 AGAP000222
7165:0000c2 AGAP000223
7165:0000c3 AGAP000225
7165:0000c4 AGAP000226
7165:0000c5 AGAP000228
7165:0000c6 AGAP000230
7165:0000c7 AGAP000232
7165:0000c8 AGAP000233
7165:0000c9 AGAP000234
7165:0000ca AGAP000235
7165:0000cb AGAP000236
7165:0000cc AGAP000237
7165:0000cd AGAP000238
7165:0000ce AGAP000239
7165:0000cf AGAP000240
7165:0000d0 AGAP000241
7165:0000d1 AGAP000242
7165:0000d2 AGAP000243
7165:0000d3 AGAP000244
7165:0000d4 AGAP000245
7165:0000d5 AGAP000246
7165:0000d6 AGAP000247
7165:0000d7 AGAP000248
7165:0000d8 AGAP000249
7165:0000d9 AGAP000250
7165:0000da AGAP000251
7165:0000db AGAP000252
7165:0000dc AGAP000253
7165:0000dd AGAP000254
7165:0000de AGAP000255
7165:0000df AGAP000256
7165:0000e0 AGAP000258
7165:0000e1 AGAP000260
7165:0000e2 AGAP000261
7165:0000e3 AGAP000262
7165:0000e4 AGAP000264
7165:0000e5 AGAP000266
7165:0000e6 AGAP000267
7165:0000e7 AGAP000268
7165:0000e8 AGAP000269
7165:0000e9 AGAP000270
