7227:0031f4	7227:0035e8
7227:002781	7227:002782
7227:002f56	7227:0025e2
7227:002bf1	7227:002bf2
7227:0029b4	7227:00312c
7227:0002b5	7227:002f97
7227:00137d	7227:002a32
7227:0031f5	7227:003332
7227:000519	7227:00051a,7227:00051b,7227:00051c,7227:00051d,7227:0029b5
7227:0001b0	7227:00329a
7227:0025df	7227:002c01,7227:002c02
7227:000e73	7227:002b83
7227:00228c	7227:00228b
7227:002cc2	7227:002cc3
7227:002916	7227:002cc6
7227:00001f	7227:000020
7227:0015cc	7227:003133
7227:000ea3	7227:000ea4
7227:000ac2	7227:002a5b
7227:00007d	7227:002dc6
7227:0002a8	7227:0002a9
7227:002a38	7227:002a39
7227:00028e	7227:001d5e
7227:002780	7227:002a31
7227:002773	7227:002775
7227:002751	7227:002df2
7227:00295d	7227:002993
7227:000b70	7227:003139
7227:00000d	7227:00000e
7227:00000f	7227:000011,7227:000012
7227:002a79	7227:003192
7227:002f63	7227:0031a7
7227:0000ee	7227:0000ef
7227:002a6d	7227:002a6c
7227:002a84	7227:002a85
7227:000a5b	7227:002a77
7227:002b85	7227:002c10,7227:002cc5
7227:0021d9	7227:0021da
7227:0027a1	7227:00299c
7227:001db3	7227:003118
7227:00255b	7227:00255c
7227:000244	7227:000245
7227:00204d	7227:002054
7227:002bab	7227:002bad
7227:0015cb	7227:002cb7
7227:002a0c	7227:002d21,7227:002d23,7227:002d25,7227:002d28,7227:002d2a,7227:002d2d,7227:002d30,7227:002d33,7227:002d36,7227:002d39,7227:002d3c,7227:002d3f,7227:002d42,7227:002d45,7227:002d48,7227:002d4b,7227:002d4e,7227:002d51,7227:002d54,7227:002d57,7227:002d5a,7227:002d5d
7227:000427	7227:000428,7227:002840,7227:002842
7227:001fee	7227:002c11
7227:0028d8	7227:003423
7227:000c7b	7227:002bdd
7227:001748	7227:00174a
7227:002764	7227:002889
7227:000364	7227:000365
7227:0014fc	7227:0014fe,7227:0014ff
7227:002f5a	7227:002f6c
7227:000cb9	7227:002bc9
7227:002bcb	7227:002e1c
7227:001484	7227:0027b4
7227:002be1	7227:002c6b
7227:00304a	7227:00304b
7227:0027da	7227:002c71,7227:002c72,7227:002c73,7227:002c74,7227:002c75,7227:002c76,7227:002c78,7227:002c79,7227:002c7a,7227:002c7b,7227:002c7c
7227:0003dd	7227:000619
7227:002cf6	7227:002cf9,7227:002cfa,7227:002cfb
7227:001885	7227:002e3f
7227:00030f	7227:000310
7227:000315	7227:000316,7227:000317,7227:000318
7227:00036a	7227:0005a3,7227:002a0b,7227:002d22,7227:002d24,7227:002d27,7227:002d29,7227:002d2c,7227:002d2f,7227:002d32,7227:002d35,7227:002d38,7227:002d3b,7227:002d3e,7227:002d41,7227:002d44,7227:002d47,7227:002d4a,7227:002d4d,7227:002d50,7227:002d53,7227:002d56,7227:002d59,7227:002d5c,7227:002d5f
7227:001b87	7227:001b88
7227:003511	7227:003512
7227:002bb6	7227:002bb7
7227:0003f4	7227:001513
7227:002b0d	7227:002b0f
7227:002a95	7227:0034ed
7227:002a0d	7227:002d26,7227:002d2b,7227:002d2e,7227:002d31,7227:002d34,7227:002d37,7227:002d3a,7227:002d3d,7227:002d40,7227:002d43,7227:002d46,7227:002d49,7227:002d4c,7227:002d4f,7227:002d52,7227:002d55,7227:002d58,7227:002d5b,7227:002d5e
7227:002d60	7227:002d62,7227:002d64,7227:002d66,7227:002d68,7227:002d6a,7227:002d6c,7227:002d6e,7227:002d70,7227:002d72,7227:002d74,7227:002d76,7227:002d78,7227:002d7a,7227:002d7c,7227:002d7e,7227:002d80,7227:002d82,7227:002d84,7227:002d86,7227:002d88,7227:002d8a,7227:002de0
7227:000b43	7227:002c00
7227:001e78	7227:002b74
7227:001e79	7227:001e7b
7227:00040e	7227:0001d1
7227:000708	7227:000709,7227:002f9c
7227:002aff	7227:002b00
7227:00070e	7227:00070f
7227:000563	7227:002a09,7227:002d61,7227:002d63,7227:002d65,7227:002d67,7227:002d69,7227:002d6b,7227:002d6d,7227:002d6f,7227:002d71,7227:002d73,7227:002d75,7227:002d77,7227:002d79,7227:002d7b,7227:002d7d,7227:002d7f,7227:002d81,7227:002d83,7227:002d85,7227:002d87,7227:002d89
7227:002771	7227:002fc6
7227:003180	7227:003181
7227:001bb3	7227:001bb4
7227:002dc5	7227:002f6d
7227:003669	7227:003666,7227:00366b
7227:00366a	7227:0034e2,7227:003668,7227:00366c,7227:00366d,7227:00366e
7227:0004f5	7227:0008c7
7227:000a68	7227:003193
7227:002c86	7227:002c88,7227:002c89
7227:002c87	7227:002cc4
7227:002672	7227:0026da
7227:001cab	7227:001cac
7227:000ee6	7227:001567
7227:00005a	7227:00005b
7227:00355b	7227:00355c
7227:000a32	7227:000a33
7227:00343c	7227:00343d
7227:003099	7227:00309a
