OFAS018188,ppk23
OFAS018183,AspRS
OFAS018182,Cht7
OFAS018184,CG5323
OFAS018186,CG3558
OFAS010202,CG8312
OFAS010203,sbm
OFAS010201,NoSymbolFound
OFAS002159,CG13618
OFAS002158,nudE
OFAS010204,Grip91
OFAS010205,Tango11
OFAS002154,Usp5
OFAS010756,Atx2
OFAS017529,spdo
OFAS002150,SCOT
OFAS010753,CG9992
OFAS019580,CG7747
OFAS013954,CG10527
OFAS019588,CG10616
OFAS013959,PNUTS
OFAS018236,CG14397
OFAS018235,Elp3
OFAS018234,Vps52
OFAS017391,mEFTs
OFAS006592,Cdc27
OFAS017393,Gp210
OFAS006594,b
OFAS006098,Prosbeta2R1
OFAS006099,Top1
OFAS017523,Moca-cyp
OFAS017521,Snr1
OFAS010206,Efhc1.1
OFAS010759,CG33090
OFAS003406,Syngr
OFAS016409,eIF2gamma
OFAS003572,Cul1
OFAS003573,RabX1
OFAS003575,strat
OFAS003577,CG43740
OFAS015808,ATPsyngamma
OFAS015800,ksh
OFAS015807,CG12123
OFAS015806,mRpL38
OFAS015804,Surf1
OFAS016345,Yif1
OFAS013325,twz
OFAS013326,Qsox1
OFAS013328,Mical
OFAS013329,Hus1-like
OFAS004241,CG31249
OFAS004240,Atg14
OFAS004248,alph
OFAS004254,crim
OFAS007052,Taf2
OFAS007050,CG15525
OFAS000005,CG9650
OFAS000007,CG6695
OFAS000008,Vps39
OFAS002719,CG8841
OFAS002718,TBC1D5
OFAS015063,Sting
OFAS009033,128up
OFAS002712,CG13315
OFAS002710,CG3803
OFAS002717,Sdhaf3
OFAS009036,CG10089
OFAS009035,Cbp20
OFAS002714,CG7470
OFAS009524,Mettl3
OFAS009526,Tspo
OFAS009521,ClpP
OFAS009520,CG42237
OFAS009523,CG1090
OFAS009529,ND-SGDH
OFAS009528,Cals
OFAS010227,CG8064
OFAS010980,CG9849
OFAS010987,CG9682
OFAS004651,CG34031
OFAS004652,CG3168
OFAS004654,Slc45-1
OFAS004655,NoSymbolFound
OFAS004656,Pgm2a
OFAS004659,scat
OFAS012055,CG5028
OFAS012059,oc
OFAS012058,CG3726
OFAS016977,BEAF-32
