AAEL007235,Ucp4A
AAEL007237,ast
AAEL007236,CG10527
AAEL007230,MED30
AAEL007233,erm
AAEL007239,Spf45
AAEL002777,CG8300
AAEL012539,sfl
AAEL002775,TTLL15
AAEL002772,MRG15
AAEL009932,l(2)gl
AAEL012536,jv
AAEL003136,Atox1
AAEL003425,verm
AAEL003426,NaPi-T
AAEL003135,SP1173
AAEL003132,IFT52
AAEL003133,CG17839
AAEL003130,CG13887
AAEL003131,CG13532
AAEL003139,CG7675
AAEL014495,CG15084
AAEL013890,CG9588
AAEL014492,l(3)87Df
AAEL013898,CG9773
AAEL014148,Dredd
AAEL014630,Cchl
AAEL014144,CG43163
AAEL014635,en
AAEL014142,Pis
AAEL005403,CG6005
AAEL001838,Pfdn1
AAEL005866,CG14757
AAEL001837,CG34447
AAEL001831,RpII15
AAEL001830,betaggt-I
AAEL001832,rau
AAEL011049,Cap-G
AAEL011048,CG10075
AAEL010644,RnrL
AAEL010397,GILT3
AAEL010640,Gart
AAEL010641,Uba2
AAEL010642,CG2931
AAEL000301,Trap1
AAEL008680,Urm1
AAEL008683,Topors
AAEL008684,sano
AAEL008687,loqs
AAEL008686,vlc
AAEL009488,mei-217
AAEL009489,fd3F
AAEL009483,CG1572
AAEL007422,NoSymbolFound
AAEL007423,CG12935
AAEL007936,CG42542
AAEL007934,CG3021
AAEL007939,Cdc45
AAEL005681,CG12290
AAEL001304,Hr39
AAEL005688,GluRS-m
AAEL001308,CG5973
AAEL009156,CG4045
AAEL009157,RhoGAPp190
AAEL009154,Gss1
AAEL009153,CG8326
AAEL009151,RpS15Aa
AAEL006881,Mctp
AAEL006880,Rab32
AAEL006883,Gadd45
AAEL006885,14-3-3zeta
AAEL006884,apt
AAEL006887,RpLP0-like
AAEL006888,CG15080
AAEL010027,CG13893
AAEL007684,Tektin-A
AAEL013098,alphaCOP
AAEL007686,tj
AAEL007687,TM9SF4
AAEL007680,CG13243
AAEL007681,ND-51
AAEL007682,bun
AAEL007683,Top3alpha
AAEL007801,Snp
AAEL009039,rb
AAEL009038,CG9953
AAEL009035,CG10064
AAEL007374,yellow-c
AAEL009031,bin
AAEL009032,CG3823
AAEL006081,CG13667
AAEL006080,spn-A
AAEL006087,Naa15-16
AAEL000134,CG3703
AAEL006330,NoSymbolFound
AAEL006337,CG16979
AAEL006339,CG13875
AAEL006338,St1
AAEL003301,CG13375
AAEL009936,pasi2
AAEL003302,CG42498
AAEL000241,PCID2
AAEL004213,CG8028
AAEL014825,Drep1
AAEL004211,CG10362
AAEL002438,rtv
AAEL014821,CG9471
AAEL014822,Naa80
AAEL014823,CG12947
AAEL002435,CG12236
AAEL002436,CG4239
AAEL002437,Sym
AAEL002430,CG17065
AAEL002433,CG13827
AAEL012254,Or85d
AAEL012250,CG6195
AAEL012258,Paf-AHalpha
AAEL002779,CG13369
AAEL003427,RpS16
AAEL003420,nord
AAEL015156,Osi1
AAEL003423,ND-MNLL
AAEL014019,Cyp4ac1
AAEL004300,Lnpk
AAEL004653,EloC
AAEL004302,Mcm10
AAEL004303,NoSymbolFound
AAEL004657,CG15012
AAEL004306,mRpL19
AAEL004307,MESK2
AAEL004308,Prosalpha5
AAEL005305,mrj
AAEL005303,TBCD
AAEL005309,Hmg-2
AAEL005308,Pdha
AAEL014369,CG8927
AAEL014368,Bin1
AAEL000825,HBS1
AAEL000824,RAF2
AAEL000826,NoSymbolFound
AAEL000823,RpL35A
AAEL000822,Klp68D
AAEL008049,CG45071
AAEL011702,RYa
AAEL011703,CG8080
AAEL011700,PIG-C
AAEL011701,Sin
AAEL011254,CG6171
AAEL011255,Ns1
AAEL011709,Dgkepsilon
AAEL011251,CG14641
AAEL011253,RhoGAP100F
AAEL010256,Smurf
AAEL010254,CG5913
AAEL010253,Orc6
AAEL017204,TM9SF2
AAEL006654,CG10343
AAEL006655,Sirt7
AAEL006656,subdued
AAEL006650,Hk
AAEL006652,CG13623
AAEL006653,Grip128
AAEL006659,CG5276
AAEL004876,CG33958
AAEL004877,Ndc1
AAEL004874,jub
AAEL004875,FBXO11
AAEL004872,CG17349
AAEL004873,GILT1
AAEL004870,Cyp18a1
AAEL008141,per
AAEL008146,Zip71B
AAEL008144,Fatp3
AAEL004879,Dpm3
AAEL001159,RNaseX25
AAEL001156,CG5280
AAEL001154,CG8209
AAEL001152,beta3GalTII
AAEL006438,gny
AAEL006439,CG7378
AAEL006433,Piezo
AAEL006435,CG33671
AAEL006436,CG8475
AAEL006437,CG2790
AAEL003865,mars
AAEL008530,CG5439
AAEL013939,rl
AAEL013284,CG11529
AAEL018255,NoSymbolFound
AAEL018254,grp
AAEL018251,slpr
AAEL007217,apn
AAEL007211,TBC1D5
AAEL002324,Vps28
AAEL012881,CG11085
AAEL012884,HPS1
AAEL012886,CG6414
AAEL012731,NoSymbolFound
AAEL013425,Lsm10
AAEL013424,CG11000
AAEL009958,Git
AAEL009959,Prp8
AAEL009956,Npc2e
AAEL009957,lili
AAEL009955,apolpp
AAEL009950,Dfd
AAEL009951,CG3609
AAEL012081,CG32176
AAEL012083,Ptp10D
AAEL012084,CG3223
AAEL012089,Xport-A
AAEL013287,CG8066
AAEL003448,CG13575
AAEL003449,SMC2
AAEL003112,Cpr66D
AAEL003115,Fili
AAEL003116,Arr2
AAEL003117,Pex7
AAEL004469,AP-2alpha
AAEL000143,CG8132
AAEL000147,mtSSB
AAEL004460,CG18278
AAEL000149,Sap30
AAEL004465,Hsc20
AAEL004467,HP1b
AAEL008336,wor
AAEL001817,grnd
AAEL011069,gus
AAEL001814,CG13077
AAEL001812,Oatp26F
AAEL005846,Mvb12
AAEL001810,CG40191
AAEL005848,IntS8
AAEL005849,CG3168
AAEL011060,CG2712
AAEL001819,CG17715
AAEL007624,Rel
AAEL000362,CG10508
AAEL000498,DIP-gamma
AAEL011399,Gdn1
AAEL011395,GlnRS
AAEL011394,CG8031
AAEL011397,CG4455
AAEL011391,mRpS9
AAEL011390,mRpL9
AAEL013803,BORCS5
AAEL005747,AstC
AAEL005510,CG6420
AAEL002346,PlexA
AAEL005515,sqd
AAEL005518,Sox102F
