GeneName_TC	GeneName_OGid	Ortholog_id_symb	Dmel_paralogs	Dmel_paralogs_ids	Dmel_paralogs_Symbols	listOfParalogsIfAny	ifParalogHasOrtholog_id_symb	Dmel_Pparalogs	Dmel_Pparalogs_ids	Dmel_Pparalogs_Symbols
AGAP004677	7165:001020	7227:0003f9__FBgn0010222/Nmdmc	NoParalogs	-	-	-	-	-	-	-
AGAP004678	7165:001021	7227:000d30__FBgn0030406/CG1463	NoParalogs	-	-	-	-	-	-	-
AGAP004679	7165:001022	7227:000d31__FBgn0030407/Fpgs	NoParalogs	-	-	-	-	-	-	-
AGAP004680	7165:001023	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004681	7165:001024	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004682	7165:001025	7227:001dba__FBgn0036915/Prp3	NoParalogs	-	-	-	-	-	-	-
AGAP028431	-	-	-	-	-	-	-	-	-	-
AGAP004683	7165:001026	7227:0024b9__FBgn0039554/CG5003	NoParalogs	-	-	-	-	-	-	-
AGAP004684	7165:001027	7227:000ede__FBgn0031040/CG14210	NoParalogs	-	-	-	-	-	-	-
AGAP004685	7165:001028	7227:000ca4__FBgn0030170/CG2990	NoParalogs	-	-	-	-	-	-	-
AGAP004686	7165:001029	7227:000e45__FBgn0030812/wcy	NoParalogs	-	-	-	-	-	-	-
AGAP004687	7165:00102a	NO ortholog	-	-	-	['7165:00102a', '7165:002c98']	NULL	-	-	-
AGAP028432	-	-	-	-	-	-	-	-	-	-
AGAP004688	7165:00102b	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004689	7165:00102c	7227:000a13__FBgn0028331/l(1)G0289	NoParalogs	-	-	-	-	-	-	-
AGAP004690	7165:00102d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004691	7165:00102e	7227:000551__FBgn0013764/Chi	NoParalogs	-	-	-	-	-	-	-
AGAP028433	-	-	-	-	-	-	-	-	-	-
AGAP004692	7165:00102f	7227:00323c__FBgn0261570/raskol	NoParalogs	-	-	-	-	-	-	-
AGAP004693	7165:001030	7227:003518__FBgn0264562/Hr4	NoParalogs	-	-	-	-	-	-	-
AGAP004694	7165:001031	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP028434	-	-	-	-	-	-	-	-	-	-
AGAP028435	-	-	-	-	-	-	-	-	-	-
AGAP004695	7165:001032	7227:000e7d__FBgn0030894/Mvb12	NoParalogs	-	-	-	-	-	-	-
AGAP004696	7165:001033	7227:0000c6__FBgn0000611/exd	NoParalogs	-	-	-	-	-	-	-
AGAP004698	7165:001034	7227:000d55__FBgn0030468/CG1622	NoParalogs	-	-	-	-	-	-	-
AGAP004699	7165:001035	7227:0001f6__FBgn0003079/Raf	NoParalogs	-	-	-	-	-	-	-
AGAP004700	7165:001036	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004701	7165:001037	7227:00351c__FBgn0264598/PsGEF	NoParalogs	-	-	-	-	-	-	-
AGAP028436	-	-	-	-	-	-	-	-	-	-
AGAP004702	7165:001038	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004703	7165:001039	7227:000deb__FBgn0030687/RpIIIC160	NoParalogs	-	-	-	-	-	-	-
AGAP004704	7165:00103a	7227:000c93__FBgn0030121/Cfp1	NoParalogs	-	-	-	-	-	-	-
AGAP028437	-	-	-	-	-	-	-	-	-	-
AGAP004706	7165:00103b	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004707	7165:00103c	7227:0034d0__FBgn0264255/NoSymb	NoParalogs	-	-	-	-	-	-	-
AGAP004708	7165:00103d	7227:000967__FBgn0027093/ArgRS	NoParalogs	-	-	-	-	-	-	-
AGAP004709	7165:00103e	7227:00093f__FBgn0026741/mRpL18	NoParalogs	-	-	-	-	-	-	-
AGAP004710	7165:00103f	7227:00048a__FBgn0011227/ox	NoParalogs	-	-	-	-	-	-	-
AGAP004711	7165:001040	7227:0005e3__FBgn0015331/abs	NoParalogs	-	-	-	-	-	-	-
AGAP004712	7165:001041	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004713	7165:001042	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004714	7165:001043	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004715	7165:001044	7227:000b82__FBgn0029706/CG3626	NoParalogs	-	-	-	-	-	-	-
AGAP004716	7165:001045	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004717	7165:001046	7227:001947__FBgn0035192/galene	NoParalogs	-	-	-	-	-	-	-
AGAP004718	7165:001047	7227:001457__FBgn0033257/sand	NoParalogs	-	-	-	-	-	-	-
AGAP004719	7165:001048	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004720	7165:001049	7227:00306d__FBgn0259242/CG42340	NoParalogs	-	-	-	-	-	-	-
AGAP004721	7165:00104a	7227:0015cc__FBgn0033836/CG18278	['7227:0015cc', '7227:003133']	['FBgn0033836', 'FBgn0260475']	['CG18278', 'CG30059']	-	-	-	-	-
AGAP004722	7165:00104b	7227:003476__FBgn0263606/Hsc20	NoParalogs	-	-	-	-	-	-	-
AGAP004723	7165:00104c	7227:000c7a__FBgn0030082/HP1b	NoParalogs	-	-	-	-	-	-	-
AGAP004724	7165:00104d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP004725	7165:00104e	7227:0016da__FBgn0034258/eIF3c	NoParalogs	-	-	-	-	-	-	-
AGAP004726	7165:00104f	7227:000b84__FBgn0029708/CG3556	NoParalogs	-	-	-	-	-	-	-
AGAP004727	7165:001050	7227:00273a__FBgn0041243/Gr43a	NoParalogs	-	-	-	-	-	-	-
AGAP004728	7165:001051	7227:002bc6__FBgn0052668/CG32668	NoParalogs	-	-	-	-	-	-	-
AGAP004729	7165:001052	7227:0017e0__FBgn0034643/CG10321	NoParalogs	-	-	-	-	-	-	-
AGAP004730	7165:001053	NO ortholog	-	-	-	NoParalogs	-	-	-	-
