GeneName,GeneSymbolOrthologs
AGAP004677,Nmdmc
AGAP004678,CG1463
AGAP004679,Fpgs
AGAP004682,Prp3
AGAP004683,CG5003
AGAP004684,CG14210
AGAP004685,CG2990
AGAP004686,wcy
AGAP004689,l(1)G0289
AGAP004691,Chi
AGAP004692,raskol
AGAP004693,Hr4
AGAP004695,Mvb12
AGAP004696,exd
AGAP004698,CG1622
AGAP004699,Raf
AGAP004701,PsGEF
AGAP004703,RpIIIC160
AGAP004704,Cfp1
AGAP004707,NoSymbolFound
AGAP004708,ArgRS
AGAP004709,mRpL18
AGAP004710,ox
AGAP004711,abs
AGAP004715,CG3626
AGAP004717,galene
AGAP004718,sand
AGAP004720,CG42340
AGAP004721,CG18278
AGAP004722,Hsc20
AGAP004723,HP1b
AGAP004725,eIF3c
AGAP004726,CG3556
AGAP004727,Gr43a
AGAP004728,CG32668
AGAP004729,CG10321
AGAP004731,CG3009
AGAP004733,CG15725
AGAP004735,Mks1
AGAP004736,CG17141
AGAP004737,rho-4
AGAP004738,beag
AGAP004739,Nop60B
AGAP004742,PCB
AGAP004743,CHOp24
AGAP004744,ScsbetaA
AGAP004745,CG42724
AGAP004746,thoc5
AGAP004748,CG32267
AGAP004749,Coprox
AGAP004750,NAT1
AGAP004751,Cap-D3
AGAP004752,CG4045
AGAP004753,Nuf2
AGAP004754,Dronc
AGAP004755,Vps36
AGAP004756,CG33969
AGAP013546,CG5969
AGAP004757,CG11263
AGAP004758,Rpn13
AGAP004759,CG10214
AGAP004761,mwh
AGAP004765,Ddx1
AGAP028129,CG11523
AGAP004766,EndoA
AGAP004767,ken
AGAP004768,nclb
AGAP004769,NoSymbolFound
AGAP004774,Hcf
AGAP004775,Dip-C
AGAP004776,Slu7
AGAP004780,Cdk12
AGAP004781,beta4GalNAcTA
AGAP004782,TBCD
AGAP004788,Neb-cGP
AGAP004789,Hmg-2
AGAP004792,CG6565
AGAP004793,Oat
AGAP004795,Su(Tpl)
AGAP004798,beta'COP
AGAP004801,Hip1
AGAP004802,Hpd
AGAP004804,CG13484
AGAP004805,NoSymbolFound
AGAP004809,CG31233
AGAP004812,iPLA2-VIA
AGAP004814,CG15212
AGAP004817,lig
AGAP004818,mRpS16
AGAP004819,ReepB
AGAP004820,Rtca
AGAP004823,sty
AGAP004824,eIF5B
AGAP004825,spd-2
AGAP004827,CG30116
AGAP004828,BBS4
AGAP004829,CG13229
AGAP004830,CG12391
AGAP004833,Prp4k
AGAP004834,CG4984
AGAP004835,CG12851
AGAP004837,CG2765
AGAP004838,CG12107
AGAP004839,mRpL52
AGAP004840,CG8607
AGAP004841,LRR
AGAP004842,Coq9
AGAP004843,CG30496
AGAP004844,Socs44A
AGAP004845,CG3829
AGAP004846,emp
AGAP004848,PPP1R15
AGAP004849,CG6693
AGAP004850,stan
AGAP004851,CG13806
AGAP004852,hts
AGAP004853,CG5522
AGAP004854,lid
AGAP004856,CG5880
AGAP004861,Tsp66E
AGAP004863,TrpA1
AGAP004864,Pep
AGAP004865,tun
AGAP004866,pps
AGAP004868,CG5174
AGAP004870,TppII
AGAP004871,CG42540
AGAP004872,CG13310
AGAP004873,Fhos
AGAP004875,CG13306
AGAP004877,Prm
AGAP004878,CG42747
AGAP004880,Ldh
AGAP004881,Best2
AGAP004882,TM9SF3
AGAP004884,muskelin
AGAP004885,CG3420
AGAP004886,Eb1
AGAP004887,RpS17
AGAP004888,CG6761
AGAP004889,Ubc4
AGAP004890,Prps
AGAP004891,CG16717
AGAP004892,fry
AGAP004895,CAH7
AGAP004896,CG43155
AGAP004899,CG8852
AGAP004902,Dscam2
AGAP004903,CG7506
