GeneName	Orthologs	GeneSymbolOrthologs	Dmel_paralogs	GeneSymbolDmel_paralogs	ParalogsThatHaveOrthologs	GeneSymbolParalogs
AGAP004677	FBgn0010222	Nmdmc	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004678	FBgn0030406	CG1463	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004679	FBgn0030407	Fpgs	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004680	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004681	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004682	FBgn0036915	Prp3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028431	geneIDnotMapped	-	-	-	-	-
AGAP004683	FBgn0039554	CG5003	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004684	FBgn0031040	CG14210	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004685	FBgn0030170	CG2990	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004686	FBgn0030812	wcy	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004687	NoDirectOrtholog	NULL	-	-	HasParalogButNoChanceOfOrthologOfParalogs	NULL
AGAP028432	geneIDnotMapped	-	-	-	-	-
AGAP004688	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004689	FBgn0028331	l(1)G0289	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004690	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004691	FBgn0013764	Chi	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028433	geneIDnotMapped	-	-	-	-	-
AGAP004692	FBgn0261570	raskol	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004693	FBgn0264562	Hr4	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004694	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028434	geneIDnotMapped	-	-	-	-	-
AGAP028435	geneIDnotMapped	-	-	-	-	-
AGAP004695	FBgn0030894	Mvb12	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004696	FBgn0000611	exd	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004698	FBgn0030468	CG1622	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004699	FBgn0003079	Raf	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004700	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004701	FBgn0264598	PsGEF	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028436	geneIDnotMapped	-	-	-	-	-
AGAP004702	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004703	FBgn0030687	RpIIIC160	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004704	FBgn0030121	Cfp1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028437	geneIDnotMapped	-	-	-	-	-
AGAP004706	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004707	FBgn0264255	NoSymbolFound	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004708	FBgn0027093	ArgRS	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004709	FBgn0026741	mRpL18	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004710	FBgn0011227	ox	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004711	FBgn0015331	abs	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004712	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004713	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004714	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004715	FBgn0029706	CG3626	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004716	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004717	FBgn0035192	galene	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004718	FBgn0033257	sand	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004719	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004720	FBgn0259242	CG42340	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004721	FBgn0033836	CG18278	['FBgn0033836', 'FBgn0260475']	['CG18278', 'CG30059']	NoNeedOfParalogs	NULL
AGAP004722	FBgn0263606	Hsc20	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004723	FBgn0030082	HP1b	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004724	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004725	FBgn0034258	eIF3c	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004726	FBgn0029708	CG3556	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004727	FBgn0041243	Gr43a	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004728	FBgn0052668	CG32668	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004729	FBgn0034643	CG10321	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004730	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004731	FBgn0029720	CG3009	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP029113	geneIDnotMapped	-	-	-	-	-
AGAP004733	FBgn0030417	CG15725	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004735	FBgn0030395	Mks1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004736	FBgn0039020	CG17141	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004737	FBgn0030318	rho-4	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004738	FBgn0037660	beag	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004739	FBgn0259937	Nop60B	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004740	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004741	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP004742	FBgn0027580	PCB	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004743	FBgn0029709	CHOp24	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004744	FBgn0037643	ScsbetaA	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004745	FBgn0261641	CG42724	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004746	FBgn0034939	thoc5	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP004747	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
